delivery_person_age,delivery_person_ratings,restaurant_latitude,restaurant_longitude,delivery_location_latitude,delivery_location_longitude,distance_km,road_traffic_density,weatherconditions,type_of_vehicle,order_hour,time_taken(min),group
21,4.7,13.01783533,77.57214186,12.98561055,77.55503105,4,Low,Rainy,Bike,9,21.2,2 - 5 km
40,3.8,12.92978288,77.69420772,12.98724815,77.56312027,15,High,Stormy,Bike,17,60.4,12 - 20 km
21,4.8,13.04391452,77.50989521,13.04647049,77.59017208,8,Medium,Rainy,Scooter,17,34.7,5 - 8 km
27,3.6,12.99443682,77.56873257,12.95955437,77.6478065,9,High,Stormy,Car,17,51.7,8 - 12 km
30,5.0,12.9239485,77.62864101,12.91503412,77.60012096,3,Jam,Cloudy,Scooter,14,33.3,2 - 5 km
28,4.6,13.00955706,77.54881713,12.93493902,77.61117482,10,High,Cloudy,Scooter,6,42.9,8 - 12 km
21,4.0,13.04993152,77.58255633,12.98277671,77.60483363,7,Jam,Rainy,Scooter,18,55.6,5 - 8 km
27,3.8,12.92517476,77.60067915,13.02592538,77.67257227,13,Medium,Sunny,Scooter,20,46.7,12 - 20 km
35,4.9,13.09078872,77.66973674,13.0745782,77.5043621,18,Low,Stormy,Car,15,54.1,12 - 20 km
27,3.3,12.97830422,77.68536545,13.06511784,77.67109253,9,Jam,Cloudy,Bike,16,50.8,8 - 12 km
21,3.0,12.92177808,77.66507907,13.04020074,77.6693017,13,Jam,Sunny,Car,4,56.2,12 - 20 km
23,3.2,13.08398402,77.62910116,12.96075645,77.52559337,17,High,Stormy,Car,9,68.4,12 - 20 km
28,4.9,13.01657819,77.57761639,12.94471661,77.62021218,9,Low,Rainy,Scooter,20,38.1,8 - 12 km
20,3.4,12.94847152,77.60525554,13.00940045,77.50585617,12,Jam,Rainy,Bike,21,64.7,8 - 12 km
30,4.4,12.91621841,77.5455681,12.98486448,77.57404361,8,Jam,Sunny,Car,11,45.4,5 - 8 km
29,4.5,12.93961593,77.65941284,13.04782584,77.60097568,13,Medium,Stormy,Bike,6,48.2,12 - 20 km
35,3.8,12.94428856,77.65209415,12.95898657,77.69038538,4,Jam,Cloudy,Bike,21,40.7,2 - 5 km
21,3.4,13.01896043,77.68438471,12.91087168,77.50472574,23,Medium,Stormy,Bike,14,72.3,
40,4.9,13.07671673,77.64654475,13.09950596,77.6863191,5,High,Cloudy,Bike,23,28.3,2 - 5 km
20,3.2,12.96236543,77.64507546,13.0678254,77.69699658,13,Jam,Cloudy,Bike,2,55.1,12 - 20 km
22,3.1,13.09110297,77.52474166,13.09285424,77.54148049,1,High,Rainy,Scooter,15,29.3,0 - 2 km
33,3.5,13.00830581,77.5892695,12.96466184,77.64746396,8,Jam,Sunny,Car,20,52.2,5 - 8 km
22,4.8,12.9081299,77.50697088,12.91251599,77.68401534,19,High,Cloudy,Car,10,60.2,12 - 20 km
20,4.4,12.96699418,77.69075248,12.90871711,77.64928758,7,High,Rainy,Scooter,19,46.7,5 - 8 km
28,4.8,13.02679601,77.68865003,12.90485134,77.54677325,20,Jam,Stormy,Scooter,15,75.5,12 - 20 km
30,3.9,12.99930812,77.50174104,13.08621125,77.56066296,11,Medium,Cloudy,Scooter,19,42.8,8 - 12 km
37,3.7,12.93946236,77.65057713,12.9494615,77.51294661,15,Low,Stormy,Car,13,53.8,12 - 20 km
27,3.3,13.09756477,77.55297826,12.91681652,77.51928452,20,Jam,Stormy,Bike,14,78.7,12 - 20 km
28,4.1,13.03482172,77.64959541,13.06939741,77.63288504,4,Low,Rainy,Scooter,11,22.3,2 - 5 km
22,3.8,12.95206701,77.58787955,12.93714728,77.5471008,4,High,Cloudy,Scooter,7,31.1,2 - 5 km
27,4.7,12.94627619,77.66168858,13.03066531,77.69819113,10,Low,Sunny,Scooter,11,26.2,8 - 12 km
36,4.7,12.95873549,77.52384333,12.93791464,77.69459304,19,Medium,Sunny,Scooter,14,51.2,12 - 20 km
31,3.7,13.05499964,77.63295112,12.9012679,77.62749146,17,High,Cloudy,Bike,1,53.6,12 - 20 km
31,3.4,12.95098273,77.61988467,13.03032856,77.54068836,12,Low,Rainy,Scooter,9,39.4,8 - 12 km
37,3.2,12.90629332,77.59912505,12.99670141,77.58163401,10,Jam,Cloudy,Car,5,52.6,8 - 12 km
38,4.8,12.95423337,77.69764775,13.03356219,77.58356908,15,Low,Rainy,Car,13,45.9,12 - 20 km
33,4.8,13.07284927,77.69932407,12.97275628,77.53944032,20,Jam,Cloudy,Bike,13,66.7,12 - 20 km
37,3.3,12.9180976,77.61555913,12.97294542,77.6546109,7,Medium,Sunny,Bike,12,27.7,5 - 8 km
25,4.9,13.02443892,77.57416872,13.00089261,77.52917737,5,High,Cloudy,Car,3,32.0,2 - 5 km
21,4.2,13.05071116,77.65842896,13.06094195,77.56032306,10,Low,Stormy,Scooter,20,45.1,8 - 12 km
26,4.7,13.08084417,77.62406859,13.06491115,77.53205523,10,Medium,Stormy,Car,5,45.6,8 - 12 km
26,3.1,12.90834252,77.68770981,12.93129578,77.57184153,13,Medium,Cloudy,Car,17,47.4,12 - 20 km
33,3.6,13.03445069,77.63357929,12.96484056,77.5779673,9,Jam,Rainy,Car,7,55.3,8 - 12 km
34,4.5,13.03176854,77.58935788,12.98767052,77.50467506,10,Jam,Stormy,Bike,14,57.5,8 - 12 km
36,4.0,13.06210587,77.58006847,12.91342413,77.57171501,16,High,Sunny,Scooter,1,50.2,12 - 20 km
32,4.3,12.92605419,77.6844252,12.96274517,77.64407869,6,Low,Sunny,Car,4,20.6,5 - 8 km
25,4.4,12.91327613,77.62282475,13.03850991,77.52191761,17,Medium,Stormy,Scooter,23,60.6,12 - 20 km
28,4.0,12.91310324,77.57017948,13.05123595,77.53175349,15,High,Stormy,Bike,15,58.7,12 - 20 km
40,4.9,12.95257353,77.60120139,12.9638155,77.50736661,10,Medium,Stormy,Bike,21,46.5,8 - 12 km
37,4.0,12.97536817,77.65842483,12.95286817,77.65365315,2,Low,Rainy,Scooter,22,26.6,0 - 2 km
31,4.2,12.92092176,77.69859092,13.02595524,77.57885128,17,High,Rainy,Scooter,11,59.3,12 - 20 km
40,4.9,12.91627711,77.54600946,13.02307473,77.69159599,20,High,Rainy,Scooter,18,70.0,12 - 20 km
36,3.7,13.0791446,77.64660776,13.04942396,77.5443275,11,High,Stormy,Scooter,1,51.8,8 - 12 km
36,3.7,12.94545193,77.63062169,12.9044579,77.5005231,15,High,Rainy,Bike,7,54.5,12 - 20 km
27,4.4,12.960231,77.52674534,12.97324691,77.66569434,15,Medium,Cloudy,Bike,14,43.6,12 - 20 km
40,4.6,13.02764202,77.67425712,13.05643123,77.58039058,10,High,Sunny,Bike,11,39.0,8 - 12 km
21,4.1,13.0156945,77.62037629,13.0035165,77.59857033,2,Medium,Sunny,Bike,12,17.1,0 - 2 km
26,4.0,12.93184332,77.68234839,12.92098357,77.62252792,6,Medium,Cloudy,Scooter,20,34.5,5 - 8 km
35,4.4,13.02831399,77.66267616,12.93492789,77.5618765,15,High,Sunny,Car,0,50.2,12 - 20 km
28,3.5,12.98732949,77.68245194,12.91609571,77.63110625,9,Medium,Cloudy,Bike,1,34.0,8 - 12 km
37,4.4,13.07825479,77.68503564,13.08857013,77.55265971,14,Low,Rainy,Car,21,51.8,12 - 20 km
20,3.3,13.00464893,77.55305925,13.02840064,77.69302816,15,Medium,Sunny,Car,7,50.3,12 - 20 km
27,3.8,12.94055528,77.53183726,13.08299168,77.5383874,15,Jam,Rainy,Car,20,73.7,12 - 20 km
27,4.1,13.09633214,77.66830413,13.00727118,77.5944281,12,Low,Sunny,Scooter,9,35.6,8 - 12 km
23,4.2,12.97831261,77.61706646,13.01304091,77.53430921,9,Low,Sunny,Bike,5,26.9,8 - 12 km
21,3.1,12.92836832,77.50574653,12.90832989,77.63852504,14,Low,Sunny,Car,18,48.7,12 - 20 km
26,3.4,12.93986244,77.69091395,13.00677883,77.63283269,9,Jam,Sunny,Bike,1,45.0,8 - 12 km
24,3.2,13.06954345,77.6624038,13.02683455,77.66501205,4,High,Stormy,Bike,20,42.9,2 - 5 km
31,4.8,12.96382778,77.58475308,12.90418369,77.55134045,7,High,Sunny,Car,19,39.6,5 - 8 km
35,4.4,13.07027547,77.62365517,12.90619627,77.58258419,18,Jam,Sunny,Scooter,17,64.0,12 - 20 km
26,3.6,13.04287802,77.66556596,13.01490818,77.55742194,12,Jam,Sunny,Car,1,52.6,8 - 12 km
28,4.2,12.9981646,77.59829682,13.05935438,77.53690384,9,Jam,Rainy,Car,5,53.0,8 - 12 km
37,4.6,12.94294287,77.63989583,12.99966312,77.52198465,14,Low,Stormy,Car,20,53.1,12 - 20 km
26,3.6,12.91902969,77.68570092,13.07836834,77.64904394,18,Jam,Sunny,Scooter,13,65.7,12 - 20 km
39,4.5,13.00023804,77.57586103,13.07679573,77.54671511,9,Jam,Cloudy,Car,19,53.8,8 - 12 km
34,4.4,12.96969709,77.56533204,12.93106535,77.66862121,12,High,Cloudy,Scooter,8,45.0,8 - 12 km
39,3.3,12.92521141,77.59240359,13.0770251,77.54758808,17,Medium,Rainy,Scooter,4,58.4,12 - 20 km
23,3.3,13.04463198,77.62057902,12.96972642,77.54724261,11,Medium,Rainy,Car,21,50.1,8 - 12 km
23,4.3,12.97684658,77.69676656,13.05897756,77.64665852,10,Jam,Rainy,Bike,3,51.9,8 - 12 km
40,3.6,13.07704962,77.59278327,12.90252346,77.67086553,21,Jam,Cloudy,Car,0,72.8,
40,4.8,13.02074176,77.58094267,13.04818916,77.68160078,11,Jam,Stormy,Bike,20,63.4,8 - 12 km
23,4.8,13.0704888,77.6359193,13.02830776,77.59078054,6,High,Rainy,Car,7,40.2,5 - 8 km
33,4.0,13.0426301,77.62592294,12.9500122,77.58471597,11,Jam,Sunny,Car,21,58.2,8 - 12 km
28,4.1,12.93661242,77.63089794,13.05563588,77.57774169,14,Jam,Sunny,Bike,5,55.6,12 - 20 km
35,4.0,13.09026525,77.5399623,12.9696415,77.6694319,19,Jam,Cloudy,Car,20,76.5,12 - 20 km
23,4.5,12.97398278,77.56857036,13.04842199,77.59138192,8,Medium,Stormy,Car,19,46.7,5 - 8 km
31,4.2,12.91132366,77.55487144,12.97993684,77.50266167,9,Jam,Stormy,Car,3,56.6,8 - 12 km
25,3.3,13.04829412,77.68798627,13.00541529,77.54378264,16,Jam,Stormy,Bike,2,72.0,12 - 20 km
40,4.7,13.02685969,77.59383172,13.01241078,77.54519736,5,Medium,Rainy,Car,13,31.7,2 - 5 km
32,4.4,12.95886846,77.60965354,12.92503322,77.6667489,7,High,Cloudy,Scooter,13,35.7,5 - 8 km
35,3.9,12.9963138,77.66108731,13.05978259,77.57159548,12,High,Rainy,Scooter,20,52.9,8 - 12 km
36,4.7,13.07940272,77.53055063,12.96063374,77.57702214,14,Low,Rainy,Bike,20,46.2,12 - 20 km
25,4.6,13.03146064,77.54194989,12.91439992,77.55859848,13,Low,Cloudy,Bike,11,36.2,12 - 20 km
35,4.4,12.94170818,77.58049687,13.00690434,77.62190268,8,Low,Rainy,Bike,16,28.7,5 - 8 km
35,4.0,13.06785585,77.6342457,12.92339612,77.52368452,20,Jam,Cloudy,Bike,1,68.3,12 - 20 km
34,4.4,13.08109267,77.64008433,12.94931332,77.53292328,18,Low,Cloudy,Scooter,15,48.6,12 - 20 km
31,4.3,13.06811318,77.57499158,12.98376336,77.69212271,16,Low,Cloudy,Car,0,42.5,12 - 20 km
24,3.1,12.90917406,77.64730826,13.09979722,77.66171992,21,Low,Stormy,Scooter,22,67.9,
30,3.8,12.92538032,77.51889306,13.03180471,77.56826228,13,Medium,Rainy,Scooter,17,44.7,12 - 20 km
40,4.0,12.95782965,77.5710357,12.99874606,77.56674437,4,High,Rainy,Bike,3,32.5,2 - 5 km
37,4.8,12.9634188,77.55984391,13.01729023,77.62696418,9,Low,Stormy,Car,17,38.8,8 - 12 km
37,4.2,12.97969642,77.5217001,12.90927933,77.66439224,17,Jam,Sunny,Car,19,67.5,12 - 20 km
25,3.2,13.03474007,77.63782497,13.07526446,77.51660064,14,Low,Stormy,Car,5,52.5,12 - 20 km
28,4.7,12.98431428,77.52012115,13.0861026,77.50268529,11,Medium,Rainy,Car,5,43.2,8 - 12 km
36,3.1,12.96369542,77.58613501,13.02835297,77.6867717,13,Low,Stormy,Car,3,50.5,12 - 20 km
33,4.1,12.98421429,77.63914243,12.98092969,77.51344377,13,Jam,Cloudy,Scooter,2,57.3,12 - 20 km
23,3.3,12.94245538,77.53035285,12.90310601,77.50095666,5,Low,Sunny,Bike,0,19.4,2 - 5 km
22,3.6,13.01379795,77.59015534,13.04884147,77.68456063,11,High,Cloudy,Car,17,47.0,8 - 12 km
20,4.8,12.99211594,77.68646934,12.95081011,77.69286308,4,Low,Sunny,Bike,21,21.9,2 - 5 km
31,4.9,12.91593611,77.56221252,13.04588838,77.53319941,14,Jam,Sunny,Scooter,23,54.5,12 - 20 km
32,4.6,13.03537589,77.52898131,13.05947215,77.57265312,5,Medium,Stormy,Scooter,14,35.7,2 - 5 km
39,4.7,13.05692484,77.61336331,12.95847766,77.51212756,15,High,Sunny,Bike,18,52.7,12 - 20 km
20,3.6,13.07762481,77.57533537,13.03696439,77.62035642,6,Medium,Stormy,Scooter,8,38.0,5 - 8 km
37,4.4,13.0173286,77.66319724,13.07748702,77.50845932,18,Medium,Cloudy,Scooter,15,51.4,12 - 20 km
21,4.4,12.91701271,77.61073487,13.05947772,77.54008611,17,Medium,Rainy,Car,14,57.3,12 - 20 km
27,3.8,13.0851998,77.61727767,12.90187392,77.57699481,20,Low,Rainy,Bike,16,57.6,12 - 20 km
22,3.4,13.0770188,77.6043717,12.99531725,77.61786573,9,Medium,Cloudy,Bike,22,38.7,8 - 12 km
31,4.7,13.0155732,77.57177811,13.05592771,77.67139014,11,Medium,Sunny,Scooter,11,37.0,8 - 12 km
26,5.0,13.05746951,77.53123099,13.01944248,77.56898433,5,Low,Sunny,Bike,18,22.8,2 - 5 km
21,3.7,13.01343679,77.55231938,13.05583816,77.58519,5,Jam,Cloudy,Scooter,5,41.0,2 - 5 km
40,3.8,12.90550386,77.50696201,12.97392666,77.64111407,16,Jam,Sunny,Car,3,63.7,12 - 20 km
25,3.7,12.91799143,77.56374212,12.94664158,77.51795665,6,Jam,Cloudy,Scooter,7,43.6,5 - 8 km
36,4.4,12.94434437,77.50772633,12.95117244,77.57040218,7,Low,Sunny,Scooter,20,28.2,5 - 8 km
38,3.9,12.996685,77.52021135,12.96353651,77.5011555,4,Medium,Rainy,Car,20,34.1,2 - 5 km
24,4.8,12.96478368,77.55140211,12.92482871,77.59626263,6,Medium,Stormy,Bike,0,34.6,5 - 8 km
24,4.6,13.08251737,77.65976986,12.93139123,77.66656724,16,Low,Rainy,Car,3,51.1,12 - 20 km
23,4.3,12.97701583,77.50434723,12.91503081,77.69446225,22,High,Cloudy,Scooter,4,64.1,
33,3.8,13.04721257,77.53604793,12.99027554,77.6778634,16,Jam,Cloudy,Scooter,4,61.4,12 - 20 km
35,3.2,13.01419807,77.55931021,13.06082889,77.55213443,5,Low,Rainy,Scooter,16,25.3,2 - 5 km
26,4.9,13.07900752,77.633656,12.94223171,77.59549107,15,High,Sunny,Scooter,13,50.7,12 - 20 km
29,3.3,13.09961713,77.68501595,12.91951297,77.55788572,24,Medium,Sunny,Car,20,69.4,
33,3.1,13.06140461,77.56818119,12.92802869,77.50038461,16,High,Cloudy,Scooter,13,54.9,12 - 20 km
22,4.7,13.01426797,77.5276149,12.93602597,77.65408915,16,Medium,Cloudy,Car,19,55.5,12 - 20 km
20,3.1,13.05225593,77.53506359,12.92740817,77.63397991,17,Medium,Rainy,Bike,23,56.2,12 - 20 km
20,3.8,13.06821355,77.68324962,13.00369184,77.56952827,14,High,Stormy,Bike,15,56.0,12 - 20 km
31,4.1,13.03309645,77.549668,13.01262552,77.69714268,16,Low,Cloudy,Car,0,45.3,12 - 20 km
32,4.2,13.08642378,77.693747,12.91426836,77.57134365,23,Medium,Rainy,Car,1,67.7,
22,3.4,12.92153771,77.64618918,12.98928777,77.50512837,17,Medium,Sunny,Bike,5,47.6,12 - 20 km
39,4.3,12.96238258,77.61107205,13.09107081,77.50389023,18,Medium,Rainy,Bike,14,55.7,12 - 20 km
34,4.0,13.04052907,77.52057291,13.07390523,77.64341963,14,Low,Rainy,Bike,16,43.3,12 - 20 km
38,3.9,12.922008,77.52430861,13.07688759,77.60831954,19,Medium,Cloudy,Bike,12,53.0,12 - 20 km
31,3.7,13.06520277,77.68751619,12.97774895,77.58409682,15,Low,Stormy,Bike,7,50.0,12 - 20 km
21,3.6,13.04310571,77.66860525,13.01288491,77.69716538,4,High,Stormy,Car,4,42.9,2 - 5 km
25,3.1,13.08686661,77.54985689,12.98442723,77.62653796,14,High,Sunny,Car,13,50.0,12 - 20 km
21,4.7,13.03382807,77.54509569,12.98414559,77.57941033,6,Jam,Sunny,Bike,19,42.1,5 - 8 km
36,3.0,13.03568778,77.55468662,13.00845089,77.68487674,14,Low,Rainy,Bike,7,47.3,12 - 20 km
38,4.1,12.95750457,77.56108235,13.02950402,77.52407625,8,High,Sunny,Scooter,4,36.5,5 - 8 km
22,4.5,13.00232649,77.67703809,13.08311763,77.61546899,11,High,Cloudy,Car,9,45.9,8 - 12 km
29,4.2,13.02199052,77.61403585,13.03007147,77.54023837,8,High,Stormy,Car,15,48.4,5 - 8 km
25,4.7,12.90619247,77.56673329,12.93776082,77.60918312,5,Jam,Sunny,Scooter,7,36.6,2 - 5 km
37,3.1,12.96509555,77.55398558,13.07567452,77.5432282,12,Low,Sunny,Bike,11,34.2,8 - 12 km
24,3.8,12.91240337,77.57757744,12.98797943,77.6470826,11,Low,Cloudy,Car,21,40.6,8 - 12 km
40,4.4,13.03506879,77.62325933,13.06999852,77.66423873,5,Low,Stormy,Scooter,22,33.7,2 - 5 km
24,3.8,13.0741652,77.50086476,13.05313547,77.61716691,13,Jam,Stormy,Car,8,67.1,12 - 20 km
32,4.1,13.02146675,77.57591246,12.99045665,77.59158048,3,High,Rainy,Scooter,19,37.1,2 - 5 km
37,3.6,12.96439875,77.65741559,13.06991326,77.59990996,13,Jam,Rainy,Bike,4,59.2,12 - 20 km
33,4.8,12.97539981,77.54638745,13.0643276,77.5660162,10,Medium,Rainy,Bike,0,35.7,8 - 12 km
36,4.5,12.95130974,77.67917835,12.95996378,77.607289,8,High,Stormy,Car,13,45.6,5 - 8 km
33,3.7,12.97154241,77.6189441,12.97022135,77.68957999,7,Low,Cloudy,Bike,12,26.9,5 - 8 km
38,3.7,13.08568247,77.53084408,12.93764284,77.58424506,17,Jam,Stormy,Car,16,75.5,12 - 20 km
40,4.8,12.91844856,77.57254338,12.97333154,77.51501745,8,High,Cloudy,Bike,22,40.4,5 - 8 km
26,3.8,13.08707831,77.60177607,13.09426223,77.62622025,2,High,Cloudy,Car,1,29.6,0 - 2 km
20,3.6,13.02062553,77.57063685,13.09874977,77.62730248,10,Low,Stormy,Bike,22,45.4,8 - 12 km
35,4.5,13.08340642,77.57951322,12.91969944,77.50308821,20,Low,Cloudy,Bike,18,53.2,12 - 20 km
25,4.0,13.02936228,77.60629773,13.09942195,77.61489354,7,Jam,Sunny,Bike,16,40.1,5 - 8 km
20,4.4,12.92002072,77.53410716,13.00449903,77.66462817,17,Jam,Sunny,Car,18,67.0,12 - 20 km
26,3.9,13.04309154,77.57076896,12.93388292,77.55332201,12,Low,Sunny,Scooter,12,31.8,8 - 12 km
27,3.1,12.94400958,77.57919864,13.05281118,77.50878472,14,Low,Cloudy,Bike,18,47.0,12 - 20 km
27,4.4,12.9629587,77.67977356,13.06317976,77.56073531,17,High,Stormy,Bike,21,67.6,12 - 20 km
25,3.7,12.94427967,77.56183158,13.07506155,77.59687792,15,Medium,Sunny,Bike,5,41.7,12 - 20 km
40,3.1,13.07646036,77.57920538,12.97258726,77.56700291,11,Jam,Rainy,Scooter,3,57.7,8 - 12 km
21,3.6,13.08259887,77.6107682,12.97747272,77.59340277,11,High,Cloudy,Scooter,0,44.8,8 - 12 km
27,3.3,12.93117868,77.64117423,12.91852626,77.55393353,9,Medium,Stormy,Scooter,11,43.8,8 - 12 km
34,4.4,12.98103042,77.62586875,13.01614853,77.55945073,8,Jam,Cloudy,Bike,22,50.9,5 - 8 km
23,4.4,13.01919063,77.58806935,13.09799457,77.60693222,8,Jam,Cloudy,Bike,2,45.4,5 - 8 km
32,4.4,12.95408183,77.65434887,12.97696353,77.63150429,3,Medium,Rainy,Bike,22,29.1,2 - 5 km
22,4.4,13.0702005,77.56420743,13.03254976,77.52179226,6,High,Rainy,Bike,2,34.7,5 - 8 km
25,3.1,12.92522652,77.64333842,12.95647281,77.58067563,7,Jam,Cloudy,Scooter,21,52.5,5 - 8 km
31,4.8,13.03819069,77.6793888,12.90505272,77.64075727,15,Jam,Cloudy,Scooter,3,56.9,12 - 20 km
39,3.3,12.92304634,77.68253721,13.04681068,77.64251742,14,Low,Stormy,Bike,6,49.3,12 - 20 km
35,4.4,12.93123783,77.6476647,13.01046886,77.62589112,9,Medium,Cloudy,Car,8,37.1,8 - 12 km
